Bat,Runs,Expected Runs,RAAR,%age of Runs Above Average Replacement,False Shots,Balls,From Date,To Date,Teams Batters Played For,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Russell,6951,5709.13,1241.87,17.87,1094,4079,1/3/2015,8/13/2024,"Kolkata Knight Riders, West Indies, Colombo Stars, Rajshahi Royals, Jamaica Tallawahs, Trinbago Knight Riders, Manchester Originals (Men), Sydney Thunder, Melbourne Renegades, Multan Sultans, Islamabad United, Minister Group Dhaka, Knights, Nangarhar Leopards, Comilla Victorians, Nottinghamshire, Quetta Gladiators, Abu Dhabi Knight Riders, Los Angeles Knight Riders, London Spirit (Men)",,,,,,,,,,,,,,,,,,,,,,,,,
Chris Gayle,7721,6651.72,1069.28,13.85,962,5356,1/9/2015,2/18/2022,"Punjab Kings, Royal Challengers Bangalore, Fortune Barishal, West Indies, Chattogram Challengers, St Kitts and Nevis Patriots, Rangpur Rangers, Melbourne Renegades, Jamaica Tallawahs, Somerset, Quetta Gladiators, Balkh Legends, Lahore Qalandars, Karachi Kings, Jozi Stars, Barisal Bulls",,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers,5829,4827.31,1001.69,17.18,548,3637,4/11/2015,10/11/2021,"Royal Challengers Bangalore, South Africa, Lahore Qalandars, Rangpur Rangers, Middlesex, Brisbane Heat, Tshwane Spartans, Titans, Barbados Royals",,,,,,,,,,,,,,,,,,,,,,,,,
Kieron Pollard,8130,7187.70,942.30,11.59,1250,5481,1/4/2015,8/18/2024,"Minister Group Dhaka, West Indies, Mumbai Indians, Multan Sultans, St Lucia Kings, Trinbago Knight Riders, London Spirit (Men), Cape Cobras, Barbados Royals, Adelaide Strikers, Melbourne Renegades, Surrey, Peshawar Zalmi, Karachi Kings, MI Emirates, MI Cape Town, MI New York, Southern Brave (Men)",,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Maxwell,7794,6864.47,929.53,11.93,1243,5103,1/3/2015,7/28/2024,"Punjab Kings, Australia, Melbourne Stars, Royal Challengers Bangalore, Delhi Capitals, London Spirit (Men), Lancashire, Yorkshire, Warwickshire, Royal Challengers Bengaluru, Washington Freedom",,,,,,,,,,,,,,,,,,,,,,,,,
Suryakumar Yadav,6104,5198.48,905.52,14.83,871,3936,4/8/2015,7/30/2024,"Kolkata Knight Riders, Mumbai Indians, India, Mumbai",,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Pooran,7198,6317.32,880.68,12.24,1225,4890,7/1/2016,8/11/2024,"Khulna Tigers, Sylhet Sunrisers, West Indies, Sunrisers Hyderabad, Barbados Royals, Punjab Kings, Guyana Amazon Warriors, Trinbago Knight Riders, Melbourne Stars, Yorkshire, Islamabad United, Rangpur Riders, Lucknow Super Giants, MI Emirates, Durban's Super Giants, MI New York, Northern Superchargers (Men)",,,,,,,,,,,,,,,,,,,,,,,,,
Rilee Rossouw,7122,6346.37,775.63,10.89,741,4778,1/9/2015,7/21/2024,"Khulna Tigers, Quetta Gladiators, Rangpur Rangers, South Africa, Melbourne Renegades, Multan Sultans, Hampshire, Oval Invincibles (Men), Somerset, Royal Challengers Bangalore, Knights, Tshwane Spartans, Sydney Thunder, Pretoria Capitals, Delhi Capitals, Punjab Kings, Jaffna Kings",,,,,,,,,,,,,,,,,,,,,,,,,
Faf du Plessis,8076,7346.42,729.58,9.03,1232,5757,1/9/2015,7/26/2024,"Chennai Super Kings, South Africa, St Kitts and Nevis Patriots, Rising Pune Supergiant, St Lucia Kings, Kent, Royal Challengers Bangalore, Northern Superchargers (Men), Paarl Rocks, Peshawar Zalmi, Quetta Gladiators, Comilla Victorians, World-XI, Perth Scorchers, Joburg Super Kings, Royal Challengers Bengaluru, Texas Super Kings",,,,,,,,,,,,,,,,,,,,,,,,,
Colin Ingram,6713,5985.66,727.34,10.83,392,4725,5/15/2015,7/19/2024,"Glamorgan, Kabul Zwanan, Karachi Kings, Sylhet Sunrisers, Guyana Amazon Warriors, Warriors, Adelaide Strikers, Trinbago Knight Riders, St Lucia Kings, Hobart Hurricanes, Delhi Capitals, Islamabad United, Oval Invincibles (Men), Pretoria Capitals",,,,,,,,,,,,,,,,,,,,,,,,,
Chris Lynn,7087,6401.21,685.79,9.68,956,4941,1/2/2015,2/15/2024,"Kolkata Knight Riders, Brisbane Heat, Guyana Amazon Warriors, Trinbago Knight Riders, St Kitts and Nevis Patriots, Lahore Qalandars, Australia, Northamptonshire, Mumbai Indians, Multan Sultans, Northern Superchargers (Men), Jamaica Tallawahs, Adelaide Strikers, Jaffna Kings, Gulf Giants",,,,,,,,,,,,,,,,,,,,,,,,,
Quinton de Kock,7860,7200.42,659.58,8.39,1274,5646,5/9/2015,7/23/2024,"South Africa, Barbados Royals, Mumbai Indians, Lucknow Super Giants, Titans, Delhi Capitals, Southern Brave (Men), Royal Challengers Bangalore, Cape Town Blitz, Easterns, Durban's Super Giants, Melbourne Renegades, Seattle Orcas",,,,,,,,,,,,,,,,,,,,,,,,,
Evin Lewis,5381,4722.78,658.22,12.23,795,3674,6/24/2015,2/20/2024,"Minister Group Dhaka, West Indies, St Kitts and Nevis Patriots, Mumbai Indians, Comilla Victorians, Rajasthan Royals, Lucknow Super Giants, Barisal Bulls, Khulna Tigers",,,,,,,,,,,,,,,,,,,,,,,,,
Jos Buttler,9602,8978.25,623.75,6.50,1360,6624,6/5/2015,6/27/2024,"England, Rajasthan Royals, Mumbai Indians, Lancashire, Sydney Thunder, Manchester Originals (Men), Comilla Victorians, Paarl Royals",,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul,6768,6193.84,574.16,8.48,1003,4911,4/11/2015,5/17/2024,"India, Punjab Kings, Lucknow Super Giants, Royal Challengers Bangalore, Sunrisers Hyderabad, Karnataka",,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Phillips,6102,5528.07,573.93,9.41,785,4319,2/17/2017,8/14/2024,"New Zealand, Barbados Royals, Jamaica Tallawahs, Gloucestershire, Auckland, Welsh Fire (Men), Rajasthan Royals, New Zealand A, Sunrisers Hyderabad, Otago, Colombo Strikers",,,,,,,,,,,,,,,,,,,,,,,,,
Colin Munro,9010,8452.79,557.21,6.18,1444,6395,5/29/2015,3/18/2024,"New Zealand, Islamabad United, Trinbago Knight Riders, Perth Scorchers, Sydney Sixers, Karachi Kings, Manchester Originals (Men), Worcestershire, Delhi Capitals, Hampshire, Auckland, Balkh Legends, Trent Rockets (Men), Kolkata Knight Riders, Brisbane Heat, Nottinghamshire, St Lucia Kings, Desert Vipers",,,,,,,,,,,,,,,,,,,,,,,,,
Alex Hales,9488,8935.58,552.42,5.82,1157,6434,1/2/2015,8/14/2024,"England, Rangpur Rangers, Nottinghamshire, Barbados Royals, Sydney Thunder, Sunrisers Hyderabad, Trent Rockets (Men), Islamabad United, Karachi Kings, Durban Heat, Hobart Hurricanes, Jamaica Tallawahs, Desert Vipers, Khulna Tigers, Galle Marvels",,,,,,,,,,,,,,,,,,,,,,,,,
Moeen Ali,5103,4557.58,545.42,10.69,743,3488,6/5/2015,8/17/2024,"Royal Challengers Bangalore, England, Chennai Super Kings, Worcestershire, Birmingham Phoenix (Men), Cape Town Blitz, Multan Sultans, Comilla Victorians, Warwickshire, Joburg Super Kings",,,,,,,,,,,,,,,,,,,,,,,,,
Rohit Sharma,7175,6643.48,531.52,7.41,1278,5203,4/8/2015,6/29/2024,"India, Mumbai Indians, Haryana",,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nabi,5043,4560.13,482.87,9.58,725,3659,7/9/2015,8/20/2024,"Sunrisers Hyderabad, Chattogram Challengers, Leicestershire, Rangpur Rangers, Afghanistan, Melbourne Renegades, St Lucia Kings, Karachi Kings, Kent, Balkh Legends, London Spirit (Men), Northamptonshire, Jamaica Tallawahs, St Kitts and Nevis Patriots, Mis Ainak Knights, Quetta Gladiators, Comilla Victorians, Kabul Eagles, Colombo Stars, Rangpur Riders, Mumbai Indians, Dambulla Thunders",,,,,,,,,,,,,,,,,,,,,,,,,
Shane Watson,5065,4610.52,454.48,8.97,669,3710,4/19/2015,10/29/2020,"Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore, Quetta Gladiators, St Lucia Kings, Sydney Thunder, Islamabad United, Rangpur Rangers, Australia",,,,,,,,,,,,,,,,,,,,,,,,,
David Warner,7133,6683.42,449.58,6.30,1131,5119,4/11/2015,6/24/2024,"Sunrisers Hyderabad, Australia, Delhi Capitals, St Lucia Kings, Sylhet Sunrisers, Sydney Thunder, Dubai Capitals",,,,,,,,,,,,,,,,,,,,,,,,,
David Miller,7116,6678.20,437.80,6.15,1003,5190,1/9/2015,7/21/2024,"South Africa, Punjab Kings, Rajasthan Royals, Welsh Fire (Men), Barbados Royals, St Lucia Kings, Jamaica Tallawahs, Hobart Hurricanes, Peshawar Zalmi, Durban Heat, Gujarat Titans, Glamorgan, Dolphins, Knights, World-XI, South Africa A, KwaZulu-Natal, Paarl Royals, Multan Sultans, Jaffna Kings, Fortune Barishal, Los Angeles Knight Riders",,,,,,,,,,,,,,,,,,,,,,,,,
Shoaib Malik,7686,7270.29,415.71,5.41,728,5921,1/9/2015,3/11/2024,"Pakistan, Jaffna Kings, Comilla Victorians, Hobart Hurricanes, Barbados Royals, Chattogram Challengers, Multan Sultans, Guyana Amazon Warriors, Karachi Kings, Peshawar Zalmi, Rajshahi Royals, Sialkot Stallions, Sialkot Region, World-XI, Central Punjab (Pakistan), Karachi Whites, Khyber Pakhtunkhwa, Jozi Stars, Southern Punjab (Pakistan), Islamabad, Rangpur Riders, Fortune Barishal",,,,,,,,,,,,,,,,,,,,,,,,,
Paul Stirling,6282,5893.64,388.36,6.18,462,4426,5/15/2015,8/14/2024,"Middlesex, Khulna Tigers, Guyana Amazon Warriors, Southern Brave (Men), Islamabad United, Warwickshire, Dambulla Giants, Northamptonshire, Ireland, Kandahar Knights, Northern Knights, Paarl Royals, Oval Invincibles (Men), Leicestershire",,,,,,,,,,,,,,,,,,,,,,,,,
James Vince,9132,8755.46,376.54,4.12,792,6715,5/15/2015,8/18/2024,"Karachi Kings, Sydney Sixers, Hampshire, Southern Brave (Men), England, Sydney Thunder, Paarl Rocks, Multan Sultans, Quetta Gladiators, England Lions, Auckland, Gulf Giants",,,,,,,,,,,,,,,,,,,,,,,,,
Jason Roy,7310,6942.02,367.98,5.03,1081,5178,1/9/2015,7/21/2024,"Gujarat Lions, England, Sylhet Sunrisers, Sydney Sixers, Surrey, Oval Invincibles (Men), Quetta Gladiators, Sydney Thunder, Perth Scorchers, Sunrisers Hyderabad, Lahore Qalandars, Nelson Mandela Bay Giants, Delhi Capitals, Paarl Royals, Kolkata Knight Riders, Abu Dhabi Knight Riders, Los Angeles Knight Riders",,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Finch,7677,7320.56,356.44,4.64,1154,5478,1/3/2015,1/13/2024,"Australia, Gujarat Lions, Melbourne Renegades, Royal Challengers Bangalore, Yorkshire, Mumbai Indians, Surrey, Punjab Kings, Kolkata Knight Riders",,,,,,,,,,,,,,,,,,,,,,,,,
Phil Salt,5794,5438.10,355.90,6.14,697,3753,5/20/2016,8/15/2024,"Adelaide Strikers, Islamabad United, Sussex, Manchester Originals (Men), Lahore Qalandars, Lancashire, Barbados Royals, England, Pretoria Capitals, Delhi Capitals, Desert Vipers, Kolkata Knight Riders",,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Stoinis,5781,5445.02,335.98,5.81,856,4169,8/31/2015,7/26/2024,"Royal Challengers Bangalore, Melbourne Stars, Delhi Capitals, Lucknow Super Giants, Punjab Kings, Australia, Kent, Southern Brave (Men), Durban's Super Giants, Texas Super Kings",,,,,,,,,,,,,,,,,,,,,,,,,
Reeza Hendricks,5276,4946.24,329.76,6.25,540,4148,1/9/2015,7/16/2024,"South Africa, Lions, Knights, Jozi Stars, South Africa A, Northern Cape, Joburg Super Kings, Rangpur Riders, Multan Sultans, Dambulla Thunders",,,,,,,,,,,,,,,,,,,,,,,,,
Johnson Charles,5405,5094.61,310.39,5.74,923,3960,6/21/2015,6/21/2024,"West Indies, Barbados Royals, Multan Sultans, Sylhet Sunrisers, St Lucia Kings, Jamaica Tallawahs, Rangpur Rangers, Jaffna Kings, Nangarhar Leopards, Rajshahi Royals, Comilla Victorians, Sharjah Warriors, West Indies A",,,,,,,,,,,,,,,,,,,,,,,,,
Laurie Evans,6109,5807.17,301.83,4.94,372,4407,5/15/2015,8/18/2024,"St Kitts and Nevis Patriots, Warwickshire, Colombo Stars, Rajshahi Royals, Minister Group Dhaka, Surrey, Perth Scorchers, Multan Sultans, Manchester Originals (Men), Sussex, Kabul Zwanan, Oval Invincibles (Men), Barbados Royals, Abu Dhabi Knight Riders, Quetta Gladiators, Southern Brave (Men)",,,,,,,,,,,,,,,,,,,,,,,,,
Fakhar Zaman,5362,5066.82,295.18,5.50,775,3956,5/11/2015,6/16/2024,"Pakistan, Lahore Qalandars, Glamorgan, Khyber Pakhtunkhwa, Abbottabad Falcons, Peshawar, Pakistan A, Abbottabad Region, Brisbane Heat, Comilla Victorians, B-Love Kandy",,,,,,,,,,,,,,,,,,,,,,,,,
Sam Billings,5505,5225.06,279.94,5.09,566,4079,5/15/2015,8/18/2024,"Kent, England, Chennai Super Kings, World-XI, Delhi Capitals, Sydney Sixers, Sydney Thunder, Kolkata Knight Riders, Oval Invincibles (Men), Islamabad United, England Lions, Brisbane Heat, Rangpur Riders, Lahore Qalandars, Dubai Capitals",,,,,,,,,,,,,,,,,,,,,,,,,
Liam Livingstone,6308,6036.05,271.95,4.31,690,4370,5/15/2015,8/17/2024,"Lancashire, England, Karachi Kings, Peshawar Zalmi, Birmingham Phoenix (Men), Perth Scorchers, Cape Town Blitz, Punjab Kings, Rajasthan Royals, England Lions, Sharjah Warriors, MI Cape Town",,,,,,,,,,,,,,,,,,,,,,,,,
Tamim Iqbal,5439,5171.44,267.56,4.92,616,4468,4/24/2015,3/1/2024,"Bangladesh, Comilla Victorians, Chattogram Challengers, Peshawar Zalmi, World-XI, Minister Group Dhaka, Lahore Qalandars, Essex, Fortune Barishal, Prime Bank Cricket Club, Khulna Tigers",,,,,,,,,,,,,,,,,,,,,,,,,
Martin Guptill,5412,5200.23,211.77,3.91,768,4059,6/23/2015,3/18/2024,"Punjab Kings, New Zealand, Sunrisers Hyderabad, Worcestershire, Guyana Amazon Warriors, Barbados Royals, St Kitts and Nevis Patriots, Karachi Kings, Auckland, Lancashire, Mumbai Indians, Melbourne Renegades, Quetta Gladiators, Trinbago Knight Riders, Sharjah Warriors, Islamabad United",,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Rizwan,6991,6796.98,194.02,2.78,1008,5544,5/11/2015,6/16/2024,"Pakistan, Lahore Qalandars, Karachi Kings, Multan Sultans, Sussex, Khyber Pakhtunkhwa, Peshawar, Peshawar Region, Sylhet Sunrisers, Pakistan A, Comilla Victorians",,,,,,,,,,,,,,,,,,,,,,,,,
Shakib Al Hasan,5075,4906.57,168.43,3.32,790,4149,1/7/2015,7/14/2024,"Bangladesh, Minister Group Dhaka, Barbados Royals, Fortune Barishal, Rangpur Rangers, Sunrisers Hyderabad, Karachi Kings, Guyana Amazon Warriors, Melbourne Renegades, Kolkata Knight Riders, Jamaica Tallawahs, Peshawar Zalmi, Gemcon Khulna, Mohammedan Sporting Club, Galle Titans, Rangpur Riders, Los Angeles Knight Riders",,,,,,,,,,,,,,,,,,,,,,,,,
Babar Azam,10099,9944.85,154.15,1.53,1116,7793,9/8/2015,6/16/2024,"Sylhet Sunrisers, Pakistan, Karachi Kings, Somerset, Central Punjab (Pakistan), Pakistan A, Guyana Amazon Warriors, Lahore Whites, Islamabad United, Lahore Blues, Islamabad Region, Peshawar Zalmi, Colombo Strikers, Rangpur Riders",,,,,,,,,,,,,,,,,,,,,,,,,
Dawid Malan,7614,7470.37,143.63,1.89,812,5794,5/28/2015,8/18/2024,"England, Barisal Bulls, Khulna Tigers, Cumilla Warriors, Trent Rockets (Men), Peshawar Zalmi, Hobart Hurricanes, Islamabad United, Middlesex, Yorkshire, Cape Town Blitz, Punjab Kings, England Lions, Comilla Victorians, Sunrisers Eastern Cape, Multan Sultans, Oval Invincibles (Men)",,,,,,,,,,,,,,,,,,,,,,,,,
Virat Kohli,8588,8529.38,58.62,0.68,1259,6258,4/11/2015,6/29/2024,"Royal Challengers Bangalore, India, Royal Challengers Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,
Andre Fletcher,5605,5572.34,32.66,0.58,941,4440,1/14/2015,8/10/2024,"West Indies, St Lucia Kings, Khulna Tigers, St Kitts and Nevis Patriots, Melbourne Stars, Peshawar Zalmi, Sylhet Sunrisers, Nangarhar Leopards, Kandy Falcons, Fortune Barishal, MI Emirates, West Indies A, Southern Brave (Men)",,,,,,,,,,,,,,,,,,,,,,,,,
Shikhar Dhawan,6331,6344.31,-13.31,-0.21,1171,4908,4/11/2015,4/9/2024,"Sunrisers Hyderabad, Delhi Capitals, India, Punjab Kings, Delhi",,,,,,,,,,,,,,,,,,,,,,,,,
Devon Conway,5335,5386.52,-51.52,-0.97,623,4078,9/26/2015,7/26/2024,"Lions, Chennai Super Kings, New Zealand, Somerset, Southern Brave (Men), Wellington, Gauteng, Texas Super Kings",,,,,,,,,,,,,,,,,,,,,,,,,
Kane Williamson,5029,5082.73,-53.73,-1.07,709,4040,4/11/2015,6/17/2024,"New Zealand, Yorkshire, Sunrisers Hyderabad, Barbados Royals, Northern Districts, Gujarat Titans",,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Bopara,5597,5695.62,-98.62,-1.76,276,4483,4/11/2015,8/13/2024,"Sunrisers Hyderabad, Sylhet Super Stars, Karachi Kings, Rangpur Rangers, St Kitts and Nevis Patriots, Sylhet Sunrisers, London Spirit (Men), Sussex, Essex, Peshawar Zalmi, Balkh Legends, Rajshahi Royals, Multan Sultans, Minister Group Dhaka, Durban Heat, Colombo Stars, Abu Dhabi Knight Riders, Northamptonshire",,,,,,,,,,,,,,,,,,,,,,,,,
